,p_nom_max,weight,p_nom,capital_cost,carrier,efficiency,co2_fac,p_nom_extendable,bus,marginal_cost,control,p_nom_opt,type,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,index,old_index,country,bidding_zone
83,inf,0.0,350.0,0.0,CCGT,0.5,0.2052,False,BE0 0,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,0,BE0 0,BE,BE
84,690.0462755,201.2132835,0.0,109295.5693,onwind,1.0,0.0,True,BE0 0,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,0,BE0 0,BE,BE
85,2554.434173,242.0486405,0.0,55064.07142,solar,1.0,0.0,True,BE0 0,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,0,BE0 0,BE,BE
86,inf,0.0,1086.434526,0.0,CCGT,0.5,0.2052,False,BE0 1,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1,BE0 1,BE,BE
87,32.35990262,8.970363247,0.0,109295.5693,onwind,1.0,0.0,True,BE0 1,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1,BE0 1,BE,BE
88,inf,10.0,10.0,270940.7153,ror,0.9,0.0,False,BE0 1,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1,BE0 1,BE,BE
89,386.4888526,35.15414421,0.0,55064.07142,solar,1.0,0.0,True,BE0 1,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,1,BE0 1,BE,BE
90,inf,0.0,465.0,0.0,CCGT,0.5,0.2052,False,BE0 10,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,2,BE0 10,BE,BE
91,23.30982005,6.815177493,0.0,109295.5693,onwind,1.0,0.0,True,BE0 10,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,2,BE0 10,BE,BE
92,583.8012259,55.12908042,0.0,55064.07142,solar,1.0,0.0,True,BE0 10,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,2,BE0 10,BE,BE
93,inf,0.0,896.222329,0.0,OCGT,0.39,0.2052,False,BE0 11,58.38461538,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,3,BE0 11,BE,BE
94,inf,0.0,2910.0,0.0,nuclear,0.337,0.0,False,BE0 11,16.90207715,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,3,BE0 11,BE,BE
95,30.12098296,8.526830362,0.0,109295.5693,onwind,1.0,0.0,True,BE0 11,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,3,BE0 11,BE,BE
96,303.0628429,28.36578879,0.0,55064.07142,solar,1.0,0.0,True,BE0 11,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,3,BE0 11,BE,BE
97,inf,0.0,413.0,0.0,CCGT,0.5,0.2052,False,BE0 12,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,4,BE0 12,BE,BE
98,114.3435187,33.25654633,0.0,109295.5693,onwind,1.0,0.0,True,BE0 12,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,4,BE0 12,BE,BE
99,1154.151559,108.456058,0.0,55064.07142,solar,1.0,0.0,True,BE0 12,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,4,BE0 12,BE,BE
100,5.238536852,1.409418983,0.0,109295.5693,onwind,1.0,0.0,True,BE0 13,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,5,BE0 13,BE,BE
101,768.3649215,73.05301776,0.0,55064.07142,solar,1.0,0.0,True,BE0 13,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,5,BE0 13,BE,BE
102,inf,0.0,672.0,0.0,CCGT,0.5,0.2052,False,BE0 14,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,6,BE0 14,BE,BE
103,inf,0.0,144.6069863,0.0,OCGT,0.39,0.2052,False,BE0 14,58.38461538,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,6,BE0 14,BE,BE
104,inf,0.0,268.0,0.0,biomass,0.468,0.0,False,BE0 14,14.95726496,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,6,BE0 14,BE,BE
105,84.11914584,25.34978052,0.0,109295.5693,onwind,1.0,0.0,True,BE0 14,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,6,BE0 14,BE,BE
106,1431.614369,136.5327899,0.0,55064.07142,solar,1.0,0.0,True,BE0 14,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,6,BE0 14,BE,BE
107,inf,0.0,470.0,0.0,coal,0.464,0.3384,False,BE0 15,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,7,BE0 15,BE,BE
108,132.9317204,33.14821392,0.0,109295.5693,onwind,1.0,0.0,True,BE0 15,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,7,BE0 15,BE,BE
109,1364.173444,128.2719173,0.0,55064.07142,solar,1.0,0.0,True,BE0 15,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,7,BE0 15,BE,BE
110,1587.857238,432.8591682,0.0,109295.5693,onwind,1.0,0.0,True,BE0 16,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,8,BE0 16,BE,BE
111,1304.152041,118.6195747,0.0,55064.07142,solar,1.0,0.0,True,BE0 16,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,8,BE0 16,BE,BE
112,inf,0.0,350.4903902,0.0,CCGT,0.5,0.2052,False,BE0 17,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,9,BE0 17,BE,BE
113,26.07273454,7.484529989,0.0,109295.5693,onwind,1.0,0.0,True,BE0 17,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,9,BE0 17,BE,BE
114,988.8951757,94.36132392,0.0,55064.07142,solar,1.0,0.0,True,BE0 17,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,9,BE0 17,BE,BE
115,inf,0.0,419.8,0.0,OCGT,0.39,0.2052,False,BE0 18,58.38461538,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,10,BE0 18,BE,BE
116,inf,0.0,235.1078706,0.0,coal,0.464,0.3384,False,BE0 18,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,10,BE0 18,BE,BE
117,72.51136594,18.02878393,0.0,109295.5693,onwind,1.0,0.0,True,BE0 18,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,10,BE0 18,BE,BE
118,1090.107597,102.4955663,0.0,55064.07142,solar,1.0,0.0,True,BE0 18,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,10,BE0 18,BE,BE
119,1131.861864,309.9023258,0.0,109295.5693,onwind,1.0,0.0,True,BE0 19,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,11,BE0 19,BE,BE
120,868.8549624,78.72618354,0.0,55064.07142,solar,1.0,0.0,True,BE0 19,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,11,BE0 19,BE,BE
121,inf,0.0,819.6505762,0.0,coal,0.464,0.3384,False,BE0 2,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,12,BE0 2,BE,BE
122,2149.270765,678.5513417,0.0,109295.5693,onwind,1.0,0.0,True,BE0 2,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,12,BE0 2,BE,BE
123,5406.811489,524.9615995,0.0,55064.07142,solar,1.0,0.0,True,BE0 2,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,12,BE0 2,BE,BE
124,inf,0.0,3015.8,0.0,nuclear,0.337,0.0,False,BE0 20,16.90207715,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,13,BE0 20,BE,BE
125,419.1864855,119.1954088,0.0,109295.5693,onwind,1.0,0.0,True,BE0 20,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,13,BE0 20,BE,BE
126,inf,6.084662865,6.084662865,270940.7153,ror,0.9,0.0,False,BE0 20,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,13,BE0 20,BE,BE
127,1817.006291,172.916658,0.0,55064.07142,solar,1.0,0.0,True,BE0 20,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,13,BE0 20,BE,BE
128,134.7050399,35.58908369,0.0,109295.5693,onwind,1.0,0.0,True,BE0 21,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,14,BE0 21,BE,BE
129,inf,26.84012397,26.84012397,270940.7153,ror,0.9,0.0,False,BE0 21,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,14,BE0 21,BE,BE
130,1552.18489,140.8314615,0.0,55064.07142,solar,1.0,0.0,True,BE0 21,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,14,BE0 21,BE,BE
131,45.49628729,12.80203321,0.0,109295.5693,onwind,1.0,0.0,True,BE0 22,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,15,BE0 22,BE,BE
132,1319.014166,126.4336033,0.0,55064.07142,solar,1.0,0.0,True,BE0 22,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,15,BE0 22,BE,BE
133,718.2674466,201.4740273,0.0,109295.5693,onwind,1.0,0.0,True,BE0 23,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,16,BE0 23,BE,BE
134,400.4829232,35.7388636,0.0,55064.07142,solar,1.0,0.0,True,BE0 23,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,16,BE0 23,BE,BE
135,184.0209662,52.79375279,0.0,109295.5693,onwind,1.0,0.0,True,BE0 24,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,17,BE0 24,BE,BE
136,923.1831204,88.23461344,0.0,55064.07142,solar,1.0,0.0,True,BE0 24,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,17,BE0 24,BE,BE
137,298.7152801,79.43407301,0.0,109295.5693,onwind,1.0,0.0,True,BE0 25,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,18,BE0 25,BE,BE
138,978.8584955,91.43888915,0.0,55064.07142,solar,1.0,0.0,True,BE0 25,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,18,BE0 25,BE,BE
139,350.5210589,97.95207525,0.0,109295.5693,onwind,1.0,0.0,True,BE0 26,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,19,BE0 26,BE,BE
140,inf,6.693129151,6.693129151,270940.7153,ror,0.9,0.0,False,BE0 26,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,19,BE0 26,BE,BE
141,836.3825941,76.72752947,0.0,55064.07142,solar,1.0,0.0,True,BE0 26,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,19,BE0 26,BE,BE
142,137.1615618,40.02955989,0.0,109295.5693,onwind,1.0,0.0,True,BE0 3,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,20,BE0 3,BE,BE
143,857.2239901,81.74527125,0.0,55064.07142,solar,1.0,0.0,True,BE0 3,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,20,BE0 3,BE,BE
144,242.395754,61.8351576,0.0,109295.5693,onwind,1.0,0.0,True,BE0 4,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,21,BE0 4,BE,BE
145,1359.910155,127.7127096,0.0,55064.07142,solar,1.0,0.0,True,BE0 4,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,21,BE0 4,BE,BE
146,186.9670204,63.29920874,0.0,109295.5693,onwind,1.0,0.0,True,BE0 5,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,22,BE0 5,BE,BE
147,510.9930452,48.38849642,0.0,55064.07142,solar,1.0,0.0,True,BE0 5,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,22,BE0 5,BE,BE
148,2339.217795,663.9513342,0.0,109295.5693,onwind,1.0,0.0,True,BE0 6,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,23,BE0 6,BE,BE
149,inf,5.476196578,5.476196578,270940.7153,ror,0.9,0.0,False,BE0 6,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,23,BE0 6,BE,BE
150,1291.558972,114.7367665,0.0,55064.07142,solar,1.0,0.0,True,BE0 6,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,23,BE0 6,BE,BE
151,inf,0.0,465.0,0.0,CCGT,0.5,0.2052,False,BE0 7,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,24,BE0 7,BE,BE
152,2672.963917,1222.909346,0.0,198542.7421,offwind-ac,1.0,0.0,True,BE0 7,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,24,BE0 7,BE,BE
153,3827.284146,1991.244492,0.0,215851.5914,offwind-dc,1.0,0.0,True,BE0 7,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,24,BE0 7,BE,BE
154,734.6481184,281.8001766,0.0,109295.5693,onwind,1.0,0.0,True,BE0 7,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,24,BE0 7,BE,BE
155,1638.850709,158.9195196,0.0,55064.07142,solar,1.0,0.0,True,BE0 7,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,24,BE0 7,BE,BE
156,429.028119,122.7621862,0.0,109295.5693,onwind,1.0,0.0,True,BE0 8,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,25,BE0 8,BE,BE
157,inf,3.921227179,3.921227179,270940.7153,ror,0.9,0.0,False,BE0 8,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,25,BE0 8,BE,BE
158,1518.717772,142.7436049,0.0,55064.07142,solar,1.0,0.0,True,BE0 8,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,25,BE0 8,BE,BE
159,1733.99866,455.2180557,0.0,109295.5693,onwind,1.0,0.0,True,BE0 9,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,26,BE0 9,BE,BE
160,1005.683026,92.93790104,0.0,55064.07142,solar,1.0,0.0,True,BE0 9,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,26,BE0 9,BE,BE
249,5498.116129,797.210265,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 0,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,27,CZ0 0,CZ,CZ
250,inf,27.04294606,27.04294606,270940.7153,ror,0.9,0.0,False,CZ0 0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,27,CZ0 0,CZ,CZ
251,2602.380985,240.3253337,0.0,55064.07142,solar,1.0,0.0,True,CZ0 0,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,27,CZ0 0,CZ,CZ
252,4239.205791,861.1431308,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 1,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,28,CZ0 1,CZ,CZ
253,2498.975687,232.8288669,0.0,55064.07142,solar,1.0,0.0,True,CZ0 1,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,28,CZ0 1,CZ,CZ
254,inf,0.0,977.0,0.0,coal,0.464,0.3384,False,CZ0 10,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,29,CZ0 10,CZ,CZ
255,1149.479002,195.4158347,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 10,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,29,CZ0 10,CZ,CZ
256,1599.574517,146.3463022,0.0,55064.07142,solar,1.0,0.0,True,CZ0 10,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,29,CZ0 10,CZ,CZ
257,inf,0.0,137.0,0.0,coal,0.464,0.3384,False,CZ0 11,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,30,CZ0 11,CZ,CZ
258,10046.6196,1407.994996,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 11,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,30,CZ0 11,CZ,CZ
259,5021.783978,463.445871,0.0,55064.07142,solar,1.0,0.0,True,CZ0 11,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,30,CZ0 11,CZ,CZ
260,5677.563194,904.8208579,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 12,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,31,CZ0 12,CZ,CZ
261,3677.885672,341.9048039,0.0,55064.07142,solar,1.0,0.0,True,CZ0 12,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,31,CZ0 12,CZ,CZ
262,inf,0.0,64.0,0.0,coal,0.464,0.3384,False,CZ0 13,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,32,CZ0 13,CZ,CZ
263,4452.77545,808.8143541,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 13,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,32,CZ0 13,CZ,CZ
264,5579.118528,541.4916652,0.0,55064.07142,solar,1.0,0.0,True,CZ0 13,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,32,CZ0 13,CZ,CZ
265,inf,0.0,1104.0,0.0,coal,0.464,0.3384,False,CZ0 14,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,33,CZ0 14,CZ,CZ
266,3987.762755,594.2156771,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 14,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,33,CZ0 14,CZ,CZ
267,2294.308097,213.3363071,0.0,55064.07142,solar,1.0,0.0,True,CZ0 14,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,33,CZ0 14,CZ,CZ
268,8683.221747,1792.389496,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 15,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,34,CZ0 15,CZ,CZ
269,4549.115298,423.2075782,0.0,55064.07142,solar,1.0,0.0,True,CZ0 15,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,34,CZ0 15,CZ,CZ
270,inf,0.0,72.0,0.0,coal,0.464,0.3384,False,CZ0 16,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,35,CZ0 16,CZ,CZ
271,inf,0.0,86.9649259,0.0,lignite,0.447,0.3636,False,CZ0 16,13.48769575,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,35,CZ0 16,CZ,CZ
272,3519.75114,668.4284231,0.0,109295.5693,onwind,1.0,0.0,True,CZ0 16,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,35,CZ0 16,CZ,CZ
273,3784.387408,373.5969891,0.0,55064.07142,solar,1.0,0.0,True,CZ0 16,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,35,CZ0 16,CZ,CZ
274,inf,0.0,640.0,0.0,coal,0.464,0.3384,False,CZ0 17,24.10344828,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,36,CZ0 17,CZ,CZ
